bank_id,systemic_risk_label,log_systemic_risk_label
1,6,1.9459101490553132
2,16,2.833213344056216
3,1,0.6931471805599453
4,1,0.6931471805599453
5,1,0.6931471805599453
6,2,1.0986122886681098
7,1,0.6931471805599453
8,2,1.0986122886681098
9,1,0.6931471805599453
10,5,1.791759469228055
11,1,0.6931471805599453
12,2,1.0986122886681098
13,3,1.3862943611198906
14,3,1.3862943611198906
15,1,0.6931471805599453
16,1,0.6931471805599453
17,1,0.6931471805599453
18,1,0.6931471805599453
19,3,1.3862943611198906
20,2,1.0986122886681098
21,15,2.772588722239781
22,1,0.6931471805599453
23,2,1.0986122886681098
24,4,1.6094379124341003
25,1,0.6931471805599453
26,15,2.772588722239781
27,4,1.6094379124341003
28,48,3.8918202981106265
29,2,1.0986122886681098
30,2,1.0986122886681098
31,3,1.3862943611198906
32,3,1.3862943611198906
33,3,1.3862943611198906
34,1,0.6931471805599453
35,11,2.4849066497880004
36,2,1.0986122886681098
37,1,0.6931471805599453
38,19,2.995732273553991
39,1,0.6931471805599453
40,2,1.0986122886681098
41,1,0.6931471805599453
42,5,1.791759469228055
43,124,4.8283137373023015
44,2,1.0986122886681098
45,2,1.0986122886681098
46,5,1.791759469228055
47,2,1.0986122886681098
48,2,1.0986122886681098
49,36,3.6109179126442243
50,77,4.356708826689592
51,28,3.367295829986474
52,2,1.0986122886681098
53,4,1.6094379124341003
54,9,2.302585092994046
55,1,0.6931471805599453
56,1,0.6931471805599453
57,2,1.0986122886681098
58,4,1.6094379124341003
59,1,0.6931471805599453
60,2,1.0986122886681098
61,1,0.6931471805599453
62,8,2.1972245773362196
63,6,1.9459101490553132
64,1,0.6931471805599453
65,3,1.3862943611198906
66,1,0.6931471805599453
67,7,2.0794415416798357
68,1,0.6931471805599453
69,12,2.5649493574615367
70,1,0.6931471805599453
71,153,5.0369526024136295
72,126,4.844187086458591
73,1,0.6931471805599453
74,1,0.6931471805599453
75,8,2.1972245773362196
76,2,1.0986122886681098
77,1,0.6931471805599453
78,2,1.0986122886681098
79,1,0.6931471805599453
80,2,1.0986122886681098
81,7,2.0794415416798357
82,9,2.302585092994046
83,1,0.6931471805599453
84,5,1.791759469228055
85,1,0.6931471805599453
86,1,0.6931471805599453
87,54,4.007333185232471
88,3,1.3862943611198906
89,3,1.3862943611198906
90,1,0.6931471805599453
91,8,2.1972245773362196
92,1,0.6931471805599453
93,9,2.302585092994046
94,2,1.0986122886681098
95,5,1.791759469228055
96,2,1.0986122886681098
97,8,2.1972245773362196
98,1,0.6931471805599453
99,3,1.3862943611198906
100,1,0.6931471805599453
101,1,0.6931471805599453
102,1,0.6931471805599453
103,2,1.0986122886681098
104,1,0.6931471805599453
105,42,3.7612001156935624
106,1,0.6931471805599453
107,163,5.099866427824199
108,4,1.6094379124341003
109,1,0.6931471805599453
110,2,1.0986122886681098
111,1,0.6931471805599453
112,1,0.6931471805599453
113,2,1.0986122886681098
114,5,1.791759469228055
115,8,2.1972245773362196
116,1,0.6931471805599453
117,3,1.3862943611198906
118,1,0.6931471805599453
119,2,1.0986122886681098
120,39,3.6888794541139363
121,7,2.0794415416798357
122,1,0.6931471805599453
123,2,1.0986122886681098
124,7,2.0794415416798357
125,1,0.6931471805599453
126,1,0.6931471805599453
127,1,0.6931471805599453
128,1,0.6931471805599453
129,2,1.0986122886681098
130,4,1.6094379124341003
131,6,1.9459101490553132
132,1,0.6931471805599453
133,1,0.6931471805599453
134,2,1.0986122886681098
135,1,0.6931471805599453
136,2,1.0986122886681098
137,1,0.6931471805599453
138,2,1.0986122886681098
139,3,1.3862943611198906
140,1,0.6931471805599453
141,1,0.6931471805599453
142,7,2.0794415416798357
143,1,0.6931471805599453
144,9,2.302585092994046
145,2,1.0986122886681098
146,6,1.9459101490553132
147,1,0.6931471805599453
148,4,1.6094379124341003
149,63,4.1588830833596715
150,1,0.6931471805599453
151,1,0.6931471805599453
152,45,3.828641396489095
153,4,1.6094379124341003
154,2,1.0986122886681098
155,3,1.3862943611198906
156,3,1.3862943611198906
157,2,1.0986122886681098
158,1,0.6931471805599453
159,2,1.0986122886681098
160,1,0.6931471805599453
161,1,0.6931471805599453
162,3,1.3862943611198906
163,14,2.70805020110221
164,1,0.6931471805599453
165,2,1.0986122886681098
166,1,0.6931471805599453
167,11,2.4849066497880004
168,1,0.6931471805599453
169,1,0.6931471805599453
170,1,0.6931471805599453
171,9,2.302585092994046
172,1,0.6931471805599453
173,3,1.3862943611198906
174,64,4.174387269895637
175,1,0.6931471805599453
176,2,1.0986122886681098
177,2,1.0986122886681098
178,1,0.6931471805599453
179,8,2.1972245773362196
180,7,2.0794415416798357
181,3,1.3862943611198906
182,3,1.3862943611198906
183,11,2.4849066497880004
184,3,1.3862943611198906
185,1,0.6931471805599453
186,5,1.791759469228055
187,52,3.970291913552122
188,7,2.0794415416798357
189,2,1.0986122886681098
190,4,1.6094379124341003
191,3,1.3862943611198906
192,1,0.6931471805599453
193,1,0.6931471805599453
194,1,0.6931471805599453
195,1,0.6931471805599453
196,1,0.6931471805599453
197,5,1.791759469228055
198,69,4.248495242049359
199,10,2.3978952727983707
200,1,0.6931471805599453
201,2,1.0986122886681098
202,1,0.6931471805599453
203,4,1.6094379124341003
204,4,1.6094379124341003
205,1,0.6931471805599453
206,1,0.6931471805599453
207,4,1.6094379124341003
208,1,0.6931471805599453
209,30,3.4339872044851463
210,7,2.0794415416798357
211,6,1.9459101490553132
212,1,0.6931471805599453
213,2,1.0986122886681098
214,3,1.3862943611198906
215,3,1.3862943611198906
216,30,3.4339872044851463
217,1,0.6931471805599453
218,2,1.0986122886681098
219,9,2.302585092994046
220,6,1.9459101490553132
221,9,2.302585092994046
222,2,1.0986122886681098
223,4,1.6094379124341003
224,2,1.0986122886681098
225,1,0.6931471805599453
226,6,1.9459101490553132
227,17,2.8903717578961645
228,1,0.6931471805599453
229,6,1.9459101490553132
230,2,1.0986122886681098
231,3,1.3862943611198906
232,49,3.912023005428146
233,1,0.6931471805599453
234,6,1.9459101490553132
235,1,0.6931471805599453
236,2,1.0986122886681098
237,2,1.0986122886681098
238,2,1.0986122886681098
239,4,1.6094379124341003
240,2,1.0986122886681098
241,3,1.3862943611198906
242,3,1.3862943611198906
243,2,1.0986122886681098
244,1,0.6931471805599453
245,2,1.0986122886681098
246,7,2.0794415416798357
247,5,1.791759469228055
248,14,2.70805020110221
249,2,1.0986122886681098
250,53,3.9889840465642745
251,2,1.0986122886681098
252,11,2.4849066497880004
253,2,1.0986122886681098
254,1,0.6931471805599453
255,2,1.0986122886681098
256,5,1.791759469228055
257,3,1.3862943611198906
258,1,0.6931471805599453
259,1,0.6931471805599453
260,2,1.0986122886681098
261,2,1.0986122886681098
262,80,4.394449154672439
263,1,0.6931471805599453
264,1,0.6931471805599453
265,5,1.791759469228055
266,9,2.302585092994046
267,1,0.6931471805599453
268,1,0.6931471805599453
269,1,0.6931471805599453
270,1,0.6931471805599453
271,35,3.58351893845611
272,2,1.0986122886681098
273,2,1.0986122886681098
274,2,1.0986122886681098
275,29,3.4011973816621555
276,2,1.0986122886681098
277,4,1.6094379124341003
278,150,5.017279836814924
279,2,1.0986122886681098
280,1,0.6931471805599453
281,1,0.6931471805599453
282,16,2.833213344056216
283,2,1.0986122886681098
284,2,1.0986122886681098
285,6,1.9459101490553132
286,58,4.07753744390572
287,2,1.0986122886681098
288,1,0.6931471805599453
289,1,0.6931471805599453
290,1,0.6931471805599453
291,1,0.6931471805599453
292,4,1.6094379124341003
293,1,0.6931471805599453
294,3,1.3862943611198906
295,2,1.0986122886681098
296,7,2.0794415416798357
297,7,2.0794415416798357
298,1,0.6931471805599453
299,3,1.3862943611198906
300,2,1.0986122886681098
301,34,3.5553480614894135
302,2,1.0986122886681098
303,12,2.5649493574615367
304,2,1.0986122886681098
305,11,2.4849066497880004
306,6,1.9459101490553132
307,1,0.6931471805599453
308,1,0.6931471805599453
309,1,0.6931471805599453
310,1,0.6931471805599453
311,2,1.0986122886681098
312,1,0.6931471805599453
313,1,0.6931471805599453
314,1,0.6931471805599453
315,21,3.091042453358316
316,3,1.3862943611198906
317,1,0.6931471805599453
318,2,1.0986122886681098
319,1,0.6931471805599453
320,1,0.6931471805599453
321,10,2.3978952727983707
322,125,4.836281906951478
323,5,1.791759469228055
324,1,0.6931471805599453
325,2,1.0986122886681098
326,1,0.6931471805599453
327,79,4.382026634673881
328,1,0.6931471805599453
329,1,0.6931471805599453
330,7,2.0794415416798357
331,14,2.70805020110221
332,1,0.6931471805599453
333,1,0.6931471805599453
334,7,2.0794415416798357
335,65,4.189654742026425
336,68,4.23410650459726
337,1,0.6931471805599453
338,15,2.772588722239781
339,3,1.3862943611198906
340,1,0.6931471805599453
341,9,2.302585092994046
342,2,1.0986122886681098
343,6,1.9459101490553132
344,1,0.6931471805599453
345,10,2.3978952727983707
346,1,0.6931471805599453
347,1,0.6931471805599453
348,2,1.0986122886681098
349,12,2.5649493574615367
350,2,1.0986122886681098
351,1,0.6931471805599453
352,1,0.6931471805599453
353,2,1.0986122886681098
354,6,1.9459101490553132
355,1,0.6931471805599453
356,2,1.0986122886681098
357,2,1.0986122886681098
358,1,0.6931471805599453
359,4,1.6094379124341003
360,1,0.6931471805599453
361,3,1.3862943611198906
362,3,1.3862943611198906
363,1,0.6931471805599453
364,2,1.0986122886681098
365,48,3.8918202981106265
366,43,3.784189633918261
367,2,1.0986122886681098
368,1,0.6931471805599453
369,1,0.6931471805599453
370,2,1.0986122886681098
371,1,0.6931471805599453
372,3,1.3862943611198906
373,1,0.6931471805599453
374,10,2.3978952727983707
375,2,1.0986122886681098
376,1,0.6931471805599453
377,11,2.4849066497880004
378,10,2.3978952727983707
379,15,2.772588722239781
380,18,2.9444389791664403
381,6,1.9459101490553132
382,1,0.6931471805599453
383,2,1.0986122886681098
384,1,0.6931471805599453
385,1,0.6931471805599453
386,1,0.6931471805599453
387,1,0.6931471805599453
388,1,0.6931471805599453
389,11,2.4849066497880004
390,1,0.6931471805599453
391,12,2.5649493574615367
392,2,1.0986122886681098
393,1,0.6931471805599453
394,7,2.0794415416798357
395,1,0.6931471805599453
396,2,1.0986122886681098
397,1,0.6931471805599453
398,2,1.0986122886681098
399,31,3.4657359027997265
400,4,1.6094379124341003
401,22,3.1354942159291497
402,1,0.6931471805599453
403,1,0.6931471805599453
404,1,0.6931471805599453
405,17,2.8903717578961645
406,15,2.772588722239781
407,2,1.0986122886681098
408,1,0.6931471805599453
409,11,2.4849066497880004
410,5,1.791759469228055
411,1,0.6931471805599453
412,74,4.31748811353631
413,1,0.6931471805599453
414,8,2.1972245773362196
415,6,1.9459101490553132
416,1,0.6931471805599453
417,2,1.0986122886681098
418,2,1.0986122886681098
419,3,1.3862943611198906
420,3,1.3862943611198906
421,32,3.4965075614664802
422,20,3.044522437723423
423,1,0.6931471805599453
424,1,0.6931471805599453
425,10,2.3978952727983707
426,2,1.0986122886681098
427,1,0.6931471805599453
428,1,0.6931471805599453
429,1,0.6931471805599453
430,3,1.3862943611198906
431,1,0.6931471805599453
432,8,2.1972245773362196
433,1,0.6931471805599453
434,1,0.6931471805599453
435,2,1.0986122886681098
436,12,2.5649493574615367
437,155,5.049856007249537
438,7,2.0794415416798357
439,2,1.0986122886681098
440,9,2.302585092994046
441,1,0.6931471805599453
442,1,0.6931471805599453
